Tme (s),Position (m)
26.55,0.083
26.6,0.072
26.65,0.054
26.7,0.03
26.75,0.002
26.8,-0.025
26.85,-0.051
26.9,-0.071
26.95,-0.083
27,-0.087
27.05,-0.082
27.1,-0.068
27.15,-0.048
27.2,-0.023
27.25,0.005
27.3,0.032
27.35,0.054
27.4,0.072
27.45,0.081
27.5,0.081
27.55,0.073
27.6,0.057
27.65,0.035
27.7,0.009
27.75,-0.018
27.8,-0.043
27.85,-0.064
27.9,-0.078
27.95,-0.084
28,-0.081
28.05,-0.07
28.1,-0.052
28.15,-0.028
28.2,-0.002
28.25,0.024
28.3,0.048
28.35,0.065
28.4,0.076
28.45,0.079
28.5,0.073
28.55,0.06
28.6,0.04
28.65,0.016
28.7,-0.011
28.75,-0.036
28.8,-0.057
28.85,-0.072
28.9,-0.08
28.95,-0.08
29,-0.071
29.05,-0.055
29.1,-0.034
29.15,-0.009
29.2,0.017
29.25,0.04
29.3,0.059
29.35,0.072
29.4,0.076
29.45,0.073
29.5,0.061
29.55,0.044
29.6,0.021
29.65,-0.004
29.7,-0.029
29.75,-0.051
29.8,-0.067
29.85,-0.076
29.9,-0.078
29.95,-0.071
30,-0.057
30.05,-0.038
30.1,-0.014
30.15,0.011
30.2,0.034
30.25,0.053
30.3,0.067
30.35,0.073
30.4,0.072
30.45,0.063
30.5,0.046
30.55,0.025
30.6,0.002
30.65,-0.023
30.7,-0.044
30.75,-0.061
30.8,-0.072
30.85,-0.076
30.9,-0.071
30.95,-0.059
31,-0.042
31.05,-0.02
31.1,0.004
31.15,0.027
31.2,0.047
31.25,0.062
31.3,0.07
31.35,0.07
31.4,0.063
31.45,0.049
31.5,0.03
31.55,0.008
31.6,-0.016
31.65,-0.038
31.7,-0.056
31.75,-0.068
31.8,-0.073
31.85,-0.071
31.9,-0.06
31.95,-0.044
32,-0.024
32.05,-0.002
32.1,0.021
32.15,0.041
32.2,0.057
32.25,0.066
32.3,0.068
32.35,0.063
32.4,0.051
32.45,0.033
32.5,0.013
32.55,-0.01
32.6,-0.032
32.65,-0.05
32.7,-0.063
32.75,-0.07
32.8,-0.069
32.85,-0.061
32.9,-0.047
32.95,-0.028
33,-0.007
33.05,0.015
33.1,0.036
33.15,0.052
33.2,0.062
33.25,0.066
33.3,0.062
33.35,0.052
33.4,0.037
33.45,0.017
33.5,-0.004
33.55,-0.026
33.6,-0.044
33.65,-0.058
33.7,-0.066
33.75,-0.067
33.8,-0.061
33.85,-0.049
33.9,-0.032
33.95,-0.012
34,0.009
34.05,0.029
34.1,0.046
34.15,0.058
34.2,0.063
34.25,0.061
